project,model,psnr_diff,ssim_diff,lpips_diff,psnr_model,psnr_base,ssim_model,ssim_base,lpips_model,lpips_base,loss_diff,gaussian_diff,time_diff_s,geometry_lr_mult,appearance_lr_mult,densification_mult
Pix4d_forensic,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,0.9011898040771484,0.1048135757446289,0.15647533535957336,24.820749282836914,23.919559478759766,0.6258831024169922,0.5210695266723633,0.4924968183040619,0.6489721536636353,0.018553800880908966,1121277,144.81756281852722,1.0,1.0,1.0
Pix4d_forensic,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.05751228332519531,-0.023799479007720947,-0.013161838054656982,23.86204719543457,23.919559478759766,0.49727004766464233,0.5210695266723633,0.6621339917182922,0.6489721536636353,0.015225857496261597,-185051,-21.42247200012207,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,0.37737464904785156,0.026820063591003418,0.05874630808830261,21.516395568847656,21.139020919799805,0.734297513961792,0.7074774503707886,0.3730936050415039,0.4318399131298065,0.0014036409556865692,1128753,145.6560080051422,1.0,1.0,1.0
Telc_sv_Jakub_March_18,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-1.0963001251220703,-0.02404850721359253,-0.024508416652679443,20.042720794677734,21.139020919799805,0.683428943157196,0.7074774503707886,0.45634832978248596,0.4318399131298065,0.00474698469042778,-529813,-55.47906041145325,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.020612716674804688,-0.000874638557434082,0.009932219982147217,20.170080184936523,20.190692901611328,0.6368654370307922,0.6377400755882263,0.50445556640625,0.5143877863883972,-0.004020422697067261,-314187,-37.163490772247314,1.0,1.0,1.0
Tiburon_Angel_Islands_State_Park_Split_group_3,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-1.0802993774414062,-0.07614272832870483,-0.07787901163101196,19.110393524169922,20.190692901611328,0.5615973472595215,0.6377400755882263,0.5922667980194092,0.5143877863883972,0.005374833941459656,-724668,-88.49687075614929,1.0,1.0,1.0
morice,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.49024200439453125,-0.024925649166107178,-0.04425877332687378,28.004255294799805,28.494497299194336,0.7751568555831909,0.8000825047492981,0.31822293996810913,0.27396416664123535,-0.0024689137935638428,-426830,-55.496562480926514,1.0,1.0,1.0
morice,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,0.06163787841796875,-0.0024052858352661133,0.008418112993240356,28.556135177612305,28.494497299194336,0.797677218914032,0.8000825047492981,0.265546053647995,0.27396416664123535,0.009227044880390167,-354034,-41.51537871360779,1.0,1.0,1.0
uncovice,model_compact-ridge_20260713_095334_final_compact_ridge_with_hard_cap_data_july13,-0.08185768127441406,0.01102447509765625,0.027280449867248535,22.565391540527344,22.647249221801758,0.6695692539215088,0.6585447788238525,0.485260009765625,0.5125404596328735,0.0038419440388679504,333848,25.63188076019287,1.0,1.0,1.0
uncovice,model_compact-mlp_20260713_095531_final_compact_mlp_with_hard_cap_data_july13,-0.9751625061035156,-0.049784719944000244,-0.05863487720489502,21.672086715698242,22.647249221801758,0.6087600588798523,0.6585447788238525,0.5711753368377686,0.5125404596328735,0.009544022381305695,-237459,-28.349921226501465,1.0,1.0,1.0
